time,bus,id,length,bitcount,mode,bytes,b1,b2,b3,b4,b5,b6,b7,b8
0.002244,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.002396,1,320,144000,76,Rx,3,00,20,46,,,,,
0.002604,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.008206,1,20,148000,78,Rx,3,00,00,07,,,,,
0.008452,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.008700,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.008938,1,2D0,230000,119,Rx,8,0A,11,09,00,10,00,00,0E
0.009177,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.009795,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.010019,1,23,216000,112,Rx,7,02,22,01,F2,00,00,41,
0.014287,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.014539,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.014747,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.016709,1,2C1,232000,120,Rx,8,08,FC,FF,01,88,A7,00,FE
0.018753,1,2C4,228000,118,Rx,8,05,3A,00,15,00,80,11,B3
0.020269,1,20,148000,78,Rx,3,00,00,07,,,,,
0.020537,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.020958,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.021864,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.022084,1,23,212000,110,Rx,7,02,1F,01,EF,00,00,3B,
0.023890,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.026376,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.026602,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.029928,1,520,142000,75,Rx,3,A4,00,96,,,,,
0.032066,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.032328,1,20,148000,78,Rx,3,00,00,07,,,,,
0.032574,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.032822,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.033061,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.033930,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.034153,1,23,214000,111,Rx,7,02,22,01,F1,00,00,40,
0.037094,1,5D4,144000,76,Rx,3,24,00,00,,,,,
0.038410,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.038663,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.038871,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.040265,1,2D0,230000,119,Rx,8,0A,11,09,00,10,00,00,0E
0.042319,1,2C4,232000,120,Rx,8,05,3F,00,15,00,80,11,B8
0.044393,1,20,148000,78,Rx,3,00,00,07,,,,,
0.044661,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.044963,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.045985,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.046207,1,23,214000,111,Rx,7,02,21,01,F1,00,00,3F,
0.048461,1,2C1,234000,121,Rx,8,08,FD,00,01,81,A8,00,FA
0.050485,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.050638,1,320,144000,76,Rx,3,00,20,46,,,,,
0.050846,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.055619,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.056465,1,20,148000,78,Rx,3,00,00,07,,,,,
0.056712,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.056960,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.057198,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.058068,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.058288,1,23,212000,110,Rx,7,02,20,01,EE,00,00,3B,
0.062540,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.062792,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.063001,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.065852,1,2C4,230000,119,Rx,8,05,43,00,15,00,80,11,BC
0.068520,1,20,148000,78,Rx,3,00,00,07,,,,,
0.068789,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.069027,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.070123,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.070345,1,23,214000,111,Rx,7,02,22,01,F1,00,00,40,
0.071999,1,2D0,232000,120,Rx,8,0A,10,09,00,10,00,00,0D
0.074633,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.074859,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.079591,1,583,180000,94,Rx,5,66,62,00,02,00,,,
0.080189,1,2C1,230000,119,Rx,8,08,FC,FF,01,83,A7,00,F9
0.080413,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.080655,1,20,148000,78,Rx,3,00,00,07,,,,,
0.080902,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.081150,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.081388,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.082244,1,22,236000,122,Rx,8,01,FA,01,FC,00,00,00,22
0.082468,1,23,216000,112,Rx,7,02,21,01,F0,00,00,3E,
0.086728,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.086980,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.087188,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.087433,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.089411,1,2C4,230000,119,Rx,8,05,43,00,15,00,80,11,BC
0.092705,1,20,148000,78,Rx,3,00,00,07,,,,,
0.092973,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.093211,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.094307,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.094527,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.098801,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.098953,1,320,144000,76,Rx,3,00,20,46,,,,,
0.099161,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.103749,1,2D0,230000,119,Rx,8,0A,11,09,00,10,00,00,0E
0.104763,1,20,148000,78,Rx,3,00,00,07,,,,,
0.105009,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.105248,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.105496,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.106364,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.106586,1,23,214000,111,Rx,7,02,21,01,F1,00,00,3F,
0.110836,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.111088,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.111296,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.111940,1,2C1,232000,120,Rx,8,08,FC,FE,01,83,A7,00,F8
0.112950,1,2C4,230000,119,Rx,8,05,43,00,15,00,80,11,BC
0.116814,1,20,148000,78,Rx,3,00,00,07,,,,,
0.117082,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.117321,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.118404,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.118629,1,23,216000,112,Rx,7,02,21,01,F0,00,00,3E,
0.119099,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.122943,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.123169,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.128306,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.128889,1,20,148000,78,Rx,3,00,00,07,,,,,
0.129135,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.129373,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.129621,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.130477,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.130697,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.134967,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.135219,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.135428,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.135672,1,2D0,236000,122,Rx,8,0A,12,09,00,10,00,00,0F
0.136512,1,2C4,230000,119,Rx,8,05,3E,00,15,00,80,11,B7
0.140938,1,20,148000,78,Rx,3,00,00,07,,,,,
0.141206,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.141444,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.142530,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.142752,1,23,214000,111,Rx,7,02,22,01,F1,00,00,40,
0.143668,1,2C1,232000,120,Rx,8,08,FD,00,01,7D,A8,00,F6
0.147096,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.147249,1,320,144000,76,Rx,3,00,20,46,,,,,
0.147457,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
